date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:04:39	44465/44465	---MC-	200	added ('OK')	text/html	etag:%221387994382-0%22	http://savemyairport.dev/	./index/index.html	(from )
05:04:39	6107/6107	---M-Z	200	added ('OK')	text/css	etag:%2250c05e-76e-4ee25a9fd6800%22	http://savemyairport.dev/sites/default/files/css/css_791YXBaKKm1ORM_7huSKEsIV9tSWq6wmRkERhuXpN6w.css	./sites/default/files/css/css_791YXBaKKm1ORM_7huSKEsIV9tSWq6wmRkERhuXpN6w/index.css	(from http://savemyairport.dev/)
05:04:40	7651/7651	---M-Z	200	added ('OK')	text/css	etag:%2250c062-78d-4ee25a9fd6800%22	http://savemyairport.dev/sites/default/files/css/css_JyxFA1b8zw4MQEKULGpxmvaFmq6xOVtDJWqu4MESBVI.css	./sites/default/files/css/css_JyxFA1b8zw4MQEKULGpxmvaFmq6xOVtDJWqu4MESBVI/index.css	(from http://savemyairport.dev/)
05:04:40	4222/4222	---M-Z	200	added ('OK')	text/css	etag:%22530e52-395-4ee4a60bf8f40%22	http://savemyairport.dev/sites/default/files/css/css_p7tcaoSLxNguREPI5Gmr0QFnrd6R-Nva8UFUe3xGav8.css	./sites/default/files/css/css_p7tcaoSLxNguREPI5Gmr0QFnrd6R-Nva8UFUe3xGav8/index.css	(from http://savemyairport.dev/)
05:04:40	60029/60029	---M-Z	200	added ('OK')	text/css	etag:%2250c06a-2382-4ee25a9fd6800%22	http://savemyairport.dev/sites/default/files/css/css_YmjqM_USTuMfDgzZk_x6mwux71q8p1M7u34dUkBUqsI.css	./sites/default/files/css/css_YmjqM_USTuMfDgzZk_x6mwux71q8p1M7u34dUkBUqsI/index.css	(from http://savemyairport.dev/)
05:04:41	5739/5739	---M-Z	200	added ('OK')	text/javascript	etag:%2250c072-70d-4ee25a9fd6800%22	http://savemyairport.dev/sites/default/files/js/js_M1RRzmT3qvq1XOOBCvYUqDDQhOC5r_PmFMypiHqSD7s.js	./sites/default/files/js/js_M1RRzmT3qvq1XOOBCvYUqDDQhOC5r_PmFMypiHqSD7s/index.js	(from http://savemyairport.dev/)
05:04:41	4172/4172	---M-Z	200	added ('OK')	text/javascript	etag:%2250c076-635-4ee25a9fd6800%22	http://savemyairport.dev/sites/default/files/js/js_fpIOV9TyV-F74FJPTtOkfr1LHr-mpcwkhDG_ihSmbQM.js	./sites/default/files/js/js_fpIOV9TyV-F74FJPTtOkfr1LHr-mpcwkhDG_ihSmbQM/index.js	(from http://savemyairport.dev/)
05:04:41	1063/1063	---M-Z	200	added ('OK')	text/javascript	etag:%2250c07a-251-4ee25a9fd6800%22	http://savemyairport.dev/sites/default/files/js/js_0G0SsNccg9OEKLaHYLkBU77P5Slx5fX7kc6TJaKpw4c.js	./sites/default/files/js/js_0G0SsNccg9OEKLaHYLkBU77P5Slx5fX7kc6TJaKpw4c/index.js	(from http://savemyairport.dev/)
05:04:42	18633/18633	---MC-	200	added ('OK')	text/html	etag:%221387994597-0%22	http://savemyairport.dev/airports/dothan-rgnl	./airports/dothan-rgnl/index.html	(from http://savemyairport.dev/)
05:04:43	18640/18640	---MC-	200	added ('OK')	text/html	etag:%221387994598-0%22	http://savemyairport.dev/airports/tuscaloosa-rgnl	./airports/tuscaloosa-rgnl/index.html	(from http://savemyairport.dev/)
